tweet,date,tagged,keywords,events,selected
Nouveau témoin a fait voyage à Montréal en mai 2012. Il était assis à côté de #Magnotta dans le vol d'Air Transat vers Paris.,10/24/2014,Nouveau_ADJ témoin_NC a_V fait_VPP voyage_NC à_P Montréal_NPP en_P mai_NC 2012_N Il_CLS était_V assis_VPP à_P côté_N de_P #Magnotta_NPP dans_P le_DET vol_NC d'Air_NPP Transat_NPP vers_P Paris_NPP,Nouveau témoin fait voyage Montréal mai était assis vol d'Air Transat Paris,depart,
"Fin du témoignage de ce second témoin. On passe à un 3e témoin français, qui ne peut être identifié lui non plus #Magnotta",10/24/2014,Fin_NC du_P témoignage_NC de_P ce_DET second_ADJ témoin_NC On_CLS passe_V à_P un_DET 3e_ADJ témoin_NC français_ADJ qui_PROREL ne_ADV peut_V être_VINF identifié_ADJ lui_CLO non_ADV plus_ADV #Magnotta_NPP,Fin témoignage second témoin passe 3e français peut être identifié,procedure,
"#Magnotta ""agissait normalement""dit le témoin, qui ajoute qu'il avait la ""peau brillante""...",10/24/2014,#Magnotta_NPP agissait_V normalementdit_V le_DET témoin_NC qui_PROREL ajoute_V qu'il_ADV avait_V la_DET peau_NC brillante_ADJ,agissait normalementdit témoin ajoute avait peau brillante,Paris,
"Leclair suggère que #Magnotta s'est identifié avec une carte de l'Univ. de Toronto, retrouvée dans sa chambre. Témoin n'a pas de souvenir.",10/24/2014,Leclair_NPP suggère_V que_CS #Magnotta_ET s_ET '_ET est_V identifié_ADJ avec_P une_DET carte_NC de_P l'Univ_NPP de_P Toronto_NPP retrouvée_VPP dans_P sa_DET chambre_NC Témoin_NC n_NC '_ADJ a_V pas_ADV de_P souvenir_NC,Leclair suggère est identifié carte l'Univ Toronto retrouvée chambre Témoin n souvenir,Paris,
"Témoin reconnaît #Magnotta, mais ""il a changé"". ""Il a grossi, il n'a pas de cheveux""' dit-il en le regardant sur l'écran (en juin dernier)",10/24/2014,Témoin_NC reconnaît_V #Magnotta_NPP mais_CC il_CLS a_V changé_VPP Il_CLS a_V grossi_VPP il_DET n_NC '_ADJ a_V pas_ADV de_P cheveux_NC '_ADJ dit-il_V en_P le_CLO regardant_VPR sur_P l'écran_NC en_P juin_NC dernier_ADJ,Témoin reconnaît changé grossi n cheveux dit-il l'écran juin dernier,-,
"Témoin était présent quand police française a perquisitionnė chambre d'hôtel. Police croyait que #Magnotta y était encore, dit-il.",10/24/2014,Témoin_NC était_V présent_ADJ quand_CS police_N française_ADJ a_V perquisitionnė_VPP chambre_N d'hôtel_ADJ Police_N croyait_V que_CS #Magnotta_NPP y_CLO était_V encore_ADV dit-il_NC,Témoin était présent française perquisitionnė d'hôtel croyait dit-il,Paris,
Témoin a peu à dire sur allées et venues de #Magnotta. Il est parti en laissant sa valise. N'a rien dit à la réception,10/24/2014,Témoin_NC a_V peu_ADV à_P dire_VINF sur_P allées_N et_CC venues_VPP de_P #Magnotta_NPP Il_CLS est_V parti_VPP en_P laissant_VPR sa_DET valise_NC N_N '_ADJ a_V rien_ADV dit_VPP à_P la_DET réception_NC,Témoin dire venues est parti valise dit réception,Paris,
"#Magnotta s'est enregistré à l'hôtel sous le nom de Kirk Trammel, dit témoin. Il croit que c'était le nom inscrit sur son passeport.",10/24/2014,#Magnotta_ET s_ET '_ET est_V enregistré_VPP à_P l'hôtel_NC sous_P le_DET nom_NC de_P Kirk_NPP Trammel_NPP dit_V témoin_NC Il_CLS croit_V que_CS c_DET '_NC était_V le_DET nom_NC inscrit_VPP sur_P son_DET passeport_NC,est enregistré l'hôtel noKirk Trammel dit témoin croit était inscrit passeport,Paris,
"#Magnotta a payé 450 euros pour 9 jours, dit le témoin. En fait, il quittera Paris le 31 mai pour aller à Berlin.",10/24/2014,#Magnotta_NPP a_V payé_VPP 450_DET euros_NC pour_P 9_DET jours_NC dit_V le_DET témoin_NC En_P fait_N il_CLS quittera_V Paris_NPP le_DET 31_ADJ mai_NC pour_P aller_VINF à_P Berlin_NPP,payé euros jours dit témoin quitterParis 31 mai aller Berlin,Paris,
"Témoin a fait déposition le 2 juin 2012. Procès-verbal fait le même jour. Il dit avoir vu #Magnotta 1ère fois le 27 mai 2012, à son hôtel",10/24/2014,Témoin_NC a_V fait_VPP déposition_NC le_DET 2_ADJ juin_NC 2012_N Procès-verbal_ADJ fait_V le_DET même_ADJ jour_NC Il_CLS dit_V avoir_VINF vu_VPP #Magnotta_NPP 1ère_ADJ fois_N le_DET 27_ADJ mai_NC 2012_N à_P son_DET hôtel_NC,Témoin fait déposition 2 juin Procès-verbal même jour dit avoir vu 1ère 27 mai hôtel,Paris,
"Témoin raconte que la police est venue à l'hôtel, en son absence. Il a fait le rapprochement, les a rappelés #Magnotta",10/24/2014,Témoin_NC raconte_V que_CS la_DET police_NC est_V venue_VPP à_P l'hôtel_NC en_P son_DET absence_NC Il_CLS a_V fait_VPP le_DET rapprochement_NC les_CLO a_V rappelés_VPP #Magnotta_NPP,Témoin raconte police est venue l'hôtel absence fait rapprochement rappelés,Paris,
Témoin dit avoir entendu parler de #Magnotta une première fois par les médias. Il était au resto de l'hôtel.,10/24/2014,Témoin_NC dit_V avoir_VINF entendu_VPP parler_VINF de_P #Magnotta_NPP une_DET première_ADJ fois_NC par_P les_DET médias_NC Il_CLS était_V au_P resto_NC de_P l'hôtel_NC,Témoin dit avoir entendu parler première fois médias était resto l'hôtel,Paris,
"Nouveau témoin, dont le nom ne peut être publié non plus. Il travaillait à l'hôtel Summan, où a séjourné #Magnotta fin mai 2012",10/24/2014,Nouveau_ADJ témoin_NC dont_PROREL le_DET nom_NC ne_ADV peut_V être_VINF publié_VPP non_ADV plus_ADV Il_CLS travaillait_V à_P l'hôtel_NC Summan_NPP où_PROREL a_V séjourné_VPP #Magnotta_NPP fin_NC mai_NC 2012_N,Nouveau témoin nopeut être publié travaillait l'hôtel Summan séjourné fin mai,Paris,
Juge explique au jury que le témoin pouvait voir #Magnotta sur un écran en témoignant. Fin de ce témoignage.,10/24/2014,Juge_N explique_V au_P jury_NC que_CS le_DET témoin_NC pouvait_V voir_VINF #Magnotta_NPP sur_P un_DET écran_NC en_P témoignant_VPR Fin_NC de_P ce_DET témoignage_NC,explique jury témoin pouvait voir écran Fin témoignage,procedure,
Le témoignage a été enregistré en juin dernier. Témoin dit que #Magnotta a beaucoup engraissé en deux ans.,10/24/2014,Le_DET témoignage_NC a_V été_VPP enregistré_VPP en_P juin_NC dernier_ADJ Témoin_NC dit_V que_CS #Magnotta_NPP a_V beaucoup_ADV engraissé_VPP en_P deux_DET ans_NC,témoignage été enregistré juin dernier Témoin dit engraissé ans,Paris,
"""Il était sympathique. Il n'avait rien de suspect""dit le témoin au sujet de #Magnotta. Il se souvient avoir reçu un pourboire de 5 €.",10/24/2014,Il_CLS était_V sympathique_ADJ Il_CLS n'avait_V rien_PRO de_P suspectdit_V le_DET témoin_NC au_P sujet_N de_P #Magnotta_N Il_CLS se_CLR souvient_V avoir_VINF reçu_VPP un_DET pourboire_NC de_P 5_DET $_NC,était sympathique n'avait suspectdit témoin souvient avoir reçu pourboire $,Paris,
Le nom du témoin en question est protégé par une ordonnance non- publication. #Magnotta,10/24/2014,Le_DET nom_NC du_P témoin_NC en_P question_NC est_V protégé_VPP par_P une_DET ordonnance_NC non_ADV -_PUNC publication_N #Magnotta_NPP,notémoin question est protégé ordonnance,procedure,
Prochain témoin est un chauffeur de taxi français. Il a transporté #Magnotta depuis l'aéroport Charles-de-Gaulle le 27 mai 2012,10/24/2014,Prochain_ADJ témoin_NC est_V un_DET chauffeur_NC de_P taxi_NC français_ADJ Il_CLS a_V transporté_VPP #Magnotta_NPP depuis_P l'aéroport_DET Charles-de-Gaulle_N le_DET 27_ADJ mai_NC 2012_N,Prochain témoin est chauffeur taxi français transporté 27 mai,Paris,
Juge Cournoyer prévient jury qu'il va entendre des témoignages enregistrés à Paris et Berlin. #Magnotta,10/24/2014,Juge_N Cournoyer_NPP prévient_V jury_NC qu'il_NPP va_V entendre_VINF des_DET témoignages_NC enregistrés_VPP à_P Paris_NPP et_CC Berlin_NPP #Magnotta_NPP,Cournoyer prévient jury qu'il ventendre témoignages enregistrés Paris Berlin,procedure,
Procès #Magnotta reprend.,10/24/2014,Procès_NPP #Magnotta_NPP reprend_V,Procès reprend,procedure,
"Fin du contre- interrogatoire de Frank Massa. Pause 20 minutes. Au retour, des témoignages enregistrés à Berlin et Paris. #Magnotta",10/24/2014,Fin_NC du_P contre_P -_PUNC interrogatoire_N de_P Frank_NPP Massa_NPP Pause_NPP 20_DET minutes_NC Au_P retour_NC des_P témoignages_NC enregistrés_VPP à_P Berlin_NPP et_CC Paris_NPP #Magnotta_NPP,Fin Frank MassPause minutes retour témoignages enregistrés Berlin Paris,procedure,
L'ordi de Berlin était enregistré au nom de Catherine. Me Leclair dit que c'est le nom du person. principal dans Basic Instinct #Magnotta,10/24/2014,L'ordi_NPP de_P Berlin_NPP était_V enregistré_VPP au_P nom_NC de_P Catherine_NPP Me_NC Leclair_NPP dit_V que_CS c'est_V le_DET nom_NC du_P person_NC principal_ADJ dans_P Basic_ET Instinct_ET #Magnotta_ET,L'ordi Berlin était enregistré noCatherine Me Leclair dit c'est person principal,Berlin,
Interrogatoire de Frank Massa par la Couronne est terminé. Le policier est maintenant contre-interrogé par l'avocat de #Magnotta,10/24/2014,Interrogatoire_ET de_P Frank_NPP Massa_NPP par_P la_DET Couronne_NC est_V terminé_VPP Le_DET policier_NC est_V maintenant_ADV contre-interrogé_VPP par_P l'avocat_N de_P #Magnotta_NPP,Frank MassCouronne est terminé policier contre-interrogé,procedure,
"Courte pause au procès #Magnotta, le temps que la Couronne revise ses notes avant de conclure son interrogatoire de Massa.",10/24/2014,Courte_ADJ pause_NC au_P procès_NC #Magnotta_NPP le_DET temps_NC que_CS la_DET Couronne_NC revise_V ses_DET notes_NC avant_P de_P conclure_VINF son_DET interrogatoire_NC de_P Massa_NPP,Courte pause procès temps Couronne revise notes conclure interrogatoire Massa,procedure,
True Faith est la chanson entendue sur la vidéo de profanation de cadavre filmée par #Magnotta le 25 mai 2012.,10/24/2014,True_NPP Faith_NPP est_V la_DET chanson_NC entendue_VPP sur_P la_DET vidéo_NC de_P profanation_NC de_P cadavre_NC filmée_VPP par_P #Magnotta_NPP le_DET 25_ADJ mai_NC 2012_N,True Faith est chanson entendue vidéo profanation cadavre filmée 25 mai,preuve,
"La chanson True Faith a été retrouvé par Massa sur un ordi. Avait été téléchargée le 8 avril 2012, effacée le 1er juin suivant. #Magnotta",10/24/2014,La_DET chanson_NC True_NPP Faith_NPP a_V été_VPP retrouvé_VPP par_P Massa_NPP sur_P un_DET ordi_NC Avait_V été_VPP téléchargée_VPP le_DET 8_ADJ avril_NC 2012_N effacée_VPP le_DET 1er_ADJ juin_NC suivant_P #Magnotta_NPP,chanson True Faith été retrouvé Massordi Avait téléchargée 8 avril effacée 1er juin,preuve,
"Votre opinion sur possibilité que vidéo mise en ligne l'a été à partir de l'ordi saisi à Berlin? Aucune preuve de ça, dit Massa #Magnotta",10/24/2014,Votre_DET opinion_NC sur_P possibilité_NC que_PROREL vidéo_ADJ mise_V en_P ligne_N l'_CLO a_V été_VPP à_P partir_V de_P l'ordi_N saisi_VPP à_P Berlin_NPP ?_PUNC Aucune_DET preuve_NC de_P ça_PRO dit_V Massa_NPP #Magnotta_NPP,opinion possibilité vidéo mise été partir saisi Berlin preuve dit Massa,preuve,
"Logiciel Track Eraser Pro était sur ordi que #Magnotta trimbalait à Berlin, dit Massa. Permet notamment d'effacer historique de navigation.",10/24/2014,Logiciel_ADJ Track_ET Eraser_ET Pro_ET était_V sur_P ordi_NC que_PROREL #Magnotta_NPP trimbalait_V à_P Berlin_NPP dit_V Massa_NPP Permet_NPP notamment_ADV d'effacer_VINF historique_ADJ de_P navigation_NC,Logiciel était ordi trimbalait Berlin dit MassPermet d'effacer historique navigation,preuve,
"Frank Massa, de l'unité des crimes technologiques du SPVM, a expertisé deux ordinateurs de #Magnotta.",10/24/2014,Frank_NPP Massa_NPP de_P l'unité_NC des_P crimes_NC technologiques_ADJ du_P SPVM_NPP a_V expertisé_VPP deux_DET ordinateurs_NC de_P #Magnotta_NPP,Frank Massl'unité crimes technologiques SPVexpertisé ordinateurs,-,Profil témoins
"Procès #Magnotta reprend, pour l'avant-midi seulement. Suite du témoignage du policier Frank Massa, entrepris hier.",10/24/2014,Procès_NPP #Magnotta_NPP reprend_V pour_P l'avant-midi_NC seulement_ADV Suite_N du_P témoignage_NC du_P policier_NC Frank_NPP Massa_NPP entrepris_VPP hier_ADV,Procès reprend l'avant-midi témoignage policier Frank Massentrepris,procedure,
"Fin de la journée au procès #Magnotta. De retour demain, à 9h30.",10/23/2014,Fin_NC de_P la_DET journée_NC au_P procès_NC #Magnotta_NPP De_P retour_NC demain_ADV à_P 9h30_NC,Fin journée procès retour 9h30,procedure,
"Quatre photos et trois vidéos mises sur cet ordi se trouvaient également sur la carte mémoire examinée par Sarganis, dit Massa #Magnotta",10/23/2014,Quatre_DET photos_NC et_CC trois_DET vidéos_NC mises_V sur_P cet_DET ordi_NC se_CLR trouvaient_V également_ADV sur_P la_DET carte_NC mémoire_NC examinée_VPP par_P Sarganis_NPP dit_V Massa_NPP #Magnotta_NPP,photos vidéos mises ordi trouvaient carte mémoire examinée Sarganis dit Massa,preuve,
"Les 31 fichiers d'intérêt étaient des photos, précise Massa. Elles sont présentées dans son rapport. #Magnotta",10/23/2014,Les_DET 31_ADJ fichiers_NC d'intérêt_ADJ étaient_V des_DET photos_NC précise_ADJ Massa_NPP Elles_CLS sont_V présentées_VPP dans_P son_DET rapport_NC #Magnotta_NPP,31 fichiers d'intérêt étaient photos précise Masssont présentées rapport,preuve,
"Ces images n'étaient pas accessibles à un utilisateur, dit Massa. Il en a trouvé des traces à partir de son expertise poussée. #Magnotta",10/23/2014,Ces_DET images_NC n'étaient_V pas_ADV accessibles_ADJ à_P un_DET utilisateur_NC dit_V Massa_N Il_CLS en_CLO a_V trouvé_VPP des_DET traces_NC à_P partir_V de_P son_DET expertise_NC poussée_ADJ #Magnotta_NPP,images n'étaient accessibles utilisateur dit trouvé traces partir expertise poussée,preuve,
"Massa explique avoir récupéré 31 fichiers d'intérêt sur cet ordi, dont certains montrent démembrement selon lui. #Magnotta",10/23/2014,Massa_NPP explique_V avoir_VINF récupéré_VPP 31_DET fichiers_NC d'intérêt_V sur_P cet_DET ordi_NC dont_PROREL certains_PRO montrent_V démembrement_NC selon_P lui_PRO #Magnotta_NPP,Massexplique avoir récupéré fichiers d'intérêt ordi montrent démembrement,preuve,
L'appareil numérique dont Sarganis a parlé plus tôt avait été branché dans cet ordi. Connecté une 1ère fois en février 2012. #Magnotta,10/23/2014,L'appareil_NPP numérique_ADJ dont_PROREL Sarganis_NPP a_V parlé_VPP plus_ADV tôt_ADV avait_V été_VPP branché_VPP dans_P cet_DET ordi_NC Connecté_VPP une_DET 1ère_ADJ fois_NC en_P février_NC 2012_ADJ #Magnotta_NC,L'appareil numérique Sarganis parlé avait été branché ordi Connecté 1ère fois février 2012,preuve,
"Un système d'exploitation avait été installé sur ce 2e ordi, un Acer, en février 2012. Nom d'enregistrement: Catherine. #Magnotta",10/23/2014,Un_DET système_NC d'exploitation_NC avait_V été_VPP installé_VPP sur_P ce_DET 2e_NC ordi_ADJ un_DET Acer_NPP en_P février_NC 2012_ADJ Nom_NC d'enregistrement_ADV :_PUNC Catherine_NPP #Magnotta_NPP,système d'exploitation avait été installé 2e ordi Acer février 2012 NoCatherine,preuve,
"2e ordi examiné par Massa était celui saisi à Berlin (en fait, il a travaillé à partir d'une copie du disque dur pour être exact) #Magnotta",10/23/2014,2e_NC ordi_ADJ examiné_VPP par_P Massa_NPP était_V celui_PRO saisi_VPP à_P Berlin_NPP en_P fait_N il_CLS a_V travaillé_VPP à_P partir_V d'une_N copie_N du_P disque_N dur_ADJ pour_P être_VINF exact_ADJ #Magnotta_NPP,2e ordi examiné Massétait saisi Berlin travaillé partir dur être exact,preuve,
"L'historique de navigation a été extrait de l'ordi, dit Massa. Données remises aux enquêteurs ensuite. #Magnotta",10/23/2014,L'historique_NPP de_P navigation_N a_V été_VPP extrait_VPP de_P l'ordi_NC dit_V Massa_NPP Données_NPP remises_VPP aux_P enquêteurs_NC ensuite_ADV #Magnotta_NPP,L'historique été extrait l'ordi dit MassDonnées remises enquêteurs,preuve,
"Sur l'ordi, Massa a notamment retrouvé un logiciel permettant de brouiller l'adresse IP de l'ordinateur #Magnotta",10/23/2014,Sur_P l'ordi_N Massa_NPP a_V notamment_ADV retrouvé_VPP un_DET logiciel_NC permettant_VPR de_P brouiller_VINF l'adresse_NC IP_NPP de_P l'ordinateur_NC #Magnotta_NPP,Massretrouvé logiciel brouiller l'adresse IP l'ordinateur,preuve,
Massa aussi trouvé deux logiciels qui permettent d'effacer les traces qu'un utilisateur laisse sur Internet. #Magnotta,10/23/2014,Massa_NPP aussi_ADV trouvé_VPP deux_DET logiciels_NC qui_PROREL permettent_V d'effacer_VINF les_DET traces_NC qu'un_ADJ utilisateur_NC laisse_V sur_P Internet_NPP #Magnotta_NPP,Masstrouvé logiciels permettent d'effacer traces qu'un utilisateur laisse Internet,preuve,
Massa dit avoir réalisé que plusieurs adresses de courriel avaient été utilisées sur cet ordinateur #Magnotta,10/23/2014,Massa_NPP dit_V avoir_VINF réalisé_VPP que_CS plusieurs_DET adresses_NC de_P courriel_NC avaient_V été_VPP utilisées_VPP sur_P cet_DET ordinateur_NC #Magnotta_NPP,Massdit avoir réalisé adresses courriel avaient été utilisées ordinateur,preuve,
"L'ordinateur retrouvé dans les vidanges avait été utilisé une dernière fois le 25 février 2012, selon Massa. #Magnotta",10/23/2014,L'ordinateur_NPP retrouvé_VPP dans_P les_DET vidanges_NC avait_V été_VPP utilisé_VPP une_DET dernière_ADJ fois_NC le_DET 25_ADJ février_NC 2012_ADJ selon_P Massa_NPP #Magnotta_NPP,L'ordinateur retrouvé vidanges avait été utilisé dernière fois 25 février 2012 Massa,preuve,
1er ordinateur examiné par Massa: celui retrouvé dans les vidanges le 29 mai 2012. Objectif: trouver son propriétaire. #Magnotta,10/23/2014,1er_ADJ ordinateur_NC examiné_VPP par_P Massa_NPP :_PUNC celui_PRO retrouvé_VPP dans_P les_DET vidanges_NC le_DET 29_ADJ mai_NC 2012_N Objectif_NC :_PUNC trouver_VINF son_DET propriétaire_NC #Magnotta_NPP,1er ordinateur examiné Massretrouvé vidanges 29 mai Objectif trouver propriétaire,preuve,
Massa est reconnu comme expert en informatique judiciaire. Couronne entreprend son interrogatoire. #Magnotta,10/23/2014,Massa_NPP est_V reconnu_VPP comme_P expert_NC en_P informatique_NC judiciaire_ADJ Couronne_NPP entreprend_V son_DET interrogatoire_NC #Magnotta_NPP,Massest reconnu expert informatique judiciaire Couronne entreprend interrogatoire,preuve,
Couronne veut que Massa soit déclaré témoin expert. La défense lui pose en ce moment qq questions à ce sujet. #Magnotta,10/23/2014,Couronne_NPP veut_V que_CS Massa_NPP soit_VS déclaré_VPP témoin_NC expert_NC La_DET défense_NC lui_CLO pose_V en_P ce_DET moment_NC qq_P questions_NC à_P ce_DET sujet_NC #Magnotta_NPP,Couronne veut Masssoit déclaré témoin expert défense pose moment questions sujet,procedure,
Massa précise en fait s'être penché sur deux ordinateurs dans l'affaire #Magnotta,10/23/2014,Massa_NPP précise_V en_P fait_N s_ET '_ET être_V penché_VPP sur_P deux_DET ordinateurs_NC dans_P l'affaire_NC #Magnotta_NPP,Massprécise être penché ordinateurs l'affaire,preuve,
Massa est le policier qui s'est penché sur l'ordinateur portatif de #Magnotta saisi par des policiers allemands à Berlin.,10/23/2014,Massa_NPP est_V le_DET policier_NC qui_PROREL s_ET '_ET est_V penché_VPP sur_P l'ordinateur_NC portatif_ADJ de_P #Magnotta_NPP saisi_VPP par_P des_DET policiers_NC allemands_ADJ à_P Berlin_NPP,Massest policier penché l'ordinateur portatif saisi policiers allemands Berlin,preuve,
"Procès #Magnotta reprend. Couronne appelle à la barre Frank Massa, également de l'unité des crimes technologiques du SPVM.",10/23/2014,Procès_NPP #Magnotta_NPP reprend_V Couronne_N appelle_V à_P la_DET barre_NC Frank_NPP Massa_NPP également_ADV de_P l'unité_NC des_P crimes_NC technologiques_ADJ du_P SPVM_NPP,Procès reprend appelle barre Frank Massl'unité crimes technologiques SPVM,procedure,
Fin du contre-interrogatoire de Me Leclair. Juge Cournoyer décrète la pause. #Magnotta,10/23/2014,Fin_NC du_P contre-interrogatoire_NC de_P Me_NC Leclair_NPP Juge_NPP Cournoyer_NPP décrète_V la_DET pause_NC #Magnotta_NPP,Fin contre-interrogatoire Me Leclair Juge Cournoyer décrète pause,procedure,
Leclair résume : 12 vidéos et 20 photos prises par #Magnotta le 25 mai 2012 l'ont été sur une période d'env. 3 heures.,10/23/2014,Leclair_NPP résume_V :_PUNC 12_DET vidéos_NC et_CC 20_DET photos_NC prises_VPP par_P #Magnotta_NPP le_DET 25_ADJ mai_NC 2012_N l'ont_V été_VPP sur_P une_DET période_NC d'env_V 3_DET heures_NC,Leclair résume vidéos photos prises 25 mai l'ont été période d'env heures,preuve,
"Leclair note que sur une vidéo de profanation, on voit #Magnotta porter bague au majeur droit, comme sur des photos prises qq jours + tôt",10/23/2014,Leclair_NPP note_V que_CS sur_P une_DET vidéo_NC de_P profanation_NC on_CLS voit_V #Magnotta_NPP porter_V bague_VPP au_P majeur_ADJ droit_NC comme_P sur_P des_DET photos_NC prises_V qq_DET jours_NC +_P tôt_ADV,Leclair note vidéo profanation voit porter bague majeur droit photos prises jours,preuve,
"Me Leclair fait rejouer chaque vidéo, demande à Sarganis de décrire ce qu'il voit. Exercice fastidieux, voire pénible #Magnotta",10/23/2014,Me_NC Leclair_NPP fait_V rejouer_VINF chaque_DET vidéo_NC demande_V à_P Sarganis_NPP de_P décrire_VINF ce_DET qu'il_NC voit_V Exercice_N fastidieux_ADJ voire_ADV pénible_ADJ #Magnotta_NPP,Me Leclair fait rejouer vidéo demande Sarganis décrire qu'il voit fastidieux pénible,preuve,
"Pour une Xe fois, Sarganis explique à Me Leclair qu'il ne peut déterminer l'heure où images ont été prises. Seulement la journée #Magnotta",10/23/2014,Pour_P une_DET Xe_ADJ fois_NC Sarganis_NPP explique_V à_P Me_NC Leclair_NPP qu'il_NPP ne_ADV peut_V déterminer_VINF l'heure_NC où_PROREL images_NC ont_V été_VPP prises_VPP Seulement_ADV la_DET journée_NC #Magnotta_NPP,Xe fois Sarganis explique Me Leclair qu'il peut déterminer l'heure images ont été prises journée,preuve,
"Luka Rocco #Magnotta a toujours la tête basse dans sa cage de verre. Fixe le sol, ne regarde pas les vidéos.",10/23/2014,Luka_NPP Rocco_NPP #Magnotta_NPP a_V toujours_ADV la_DET tête_N basse_ADJ dans_P sa_DET cage_NC de_P verre_NC Fixe_ADJ le_DET sol_NC ne_ADV regarde_V pas_ADV les_DET vidéos_NC,LukRocco basse cage verre Fixe sol regarde vidéos,-,Comportement Magnotta / jurés procès
"Me Leclair présente à nouveau photos/vidéos du 25 mai 2012. S'intéresse à leur chronologie, temps qui s'écoule entre deux #Magnotta",10/23/2014,Me_NC Leclair_NPP présente_V à_P nouveau_ADJ photos/vid_NC éos_ADJ du_P 25_ADJ mai_NC 2012_N S'intéresse_N à_P leur_DET chronologie_NC temps_NC qui_PROREL s_ET '_ET écoule_V entre_P deux_DET #Magnotta_NC,Me Leclair présente nouveau photos/vid éos 25 mai chronologie temps écoule,preuve,
L'avocat de #Magnotta veut d'abord revenir sur des photos prises le 21 mai 2012: on voit #Magnotta accroupi sur un terrain gazonné,10/23/2014,L'avocat_NPP de_P #Magnotta_NPP veut_V d'abord_ADV revenir_VINF sur_P des_DET photos_NC prises_V le_DET 21_ADJ mai_NC 2012_N :_PUNC on_CLS voit_V #Magnotta_NPP accroupi_V sur_P un_DET terrain_NC gazonné_VPP,L'avocat veut revenir photos prises 21 mai voit accroupi terrain gazonné,preuve,
"Procès #Magnotta reprend, avec contre-interrogatoire du policier Sarganis. Jury va bientôt revoir des vidéos du 25 mai 2012",10/23/2014,Procès_NPP #Magnotta_NPP reprend_V avec_P contre-interrogatoire_NC du_P policier_NC Sarganis_NPP Jury_NPP va_V bientôt_ADV revoir_VINF des_DET vidéos_NC du_P 25_ADJ mai_NC 2012_N,Procès reprend contre-interrogatoire policier Sarganis Jury vrevoir vidéos 25 mai,procedure,
Pause du midi au procès #Magnotta. Des vidéos horribles présentées ce matin seront montrées de nouveau au jury au retour. #Magnotta,10/23/2014,Pause_N du_P midi_N au_P procès_N #Magnotta_N Des_DET vidéos_NC horribles_ADJ présentées_VPP ce_DET matin_NC seront_V montrées_VPP de_P nouveau_ADJ au_P jury_NC au_P retour_NC #Magnotta_NPP,vidéos horribles présentées matin seront montrées nouveau jury retour,preuve,
"Depuis un bon moment, Me Leclair s'intéresse aux photos et vidéos du 19 mai 2012. #Magnotta chez lui avec autre homme non identifié",10/23/2014,Depuis_P un_DET bon_ADJ moment_NC Me_NC Leclair_ET s_ET '_ET intéresse_V aux_P photos_NC et_CC vidéos_NC du_P 19_ADJ mai_NC 2012_N #Magnotta_N chez_P lui_PRO avec_P autre_ADJ homme_N non_ADV identifié_ADJ,bon moment Me intéresse photos vidéos 19 mai autre identifié,preuve,
"Fin de l'interrogatoire principal de Sarganis, maintenant contre-interrogé par l'avocat de #Magnotta, Luc Leclair.",10/23/2014,Fin_NC de_P l'interrogatoire_NC principal_ADJ de_P Sarganis_NPP maintenant_ADV contre-interrogé_VPP par_P l'avocat_NC de_P #Magnotta_NPP Luc_NPP Leclair_NPP,Fin l'interrogatoire principal Sarganis contre-interrogé l'avocat Luc Leclair,procedure,
Couronne demande à Sarganis de présenter l'appareil numérique utilisé par #Magnotta. Elle est déposée en preuve.,10/23/2014,Couronne_DET demande_NC à_P Sarganis_NPP de_P présenter_VINF l'appareil_DET numérique_ADJ utilisé_VPP par_P #Magnotta_NPP Elle_CLS est_V déposée_VPP en_P preuve_NC,demande Sarganis présenter numérique utilisé est déposée preuve,procedure,
Procès #Magnotta reprend. Suite du témoignage du policier Panagiotis Sarganis.,10/23/2014,Procès_NPP #Magnotta_NPP reprend_V Suite_N du_P témoignage_NC du_P policier_NC Panagiotis_NPP Sarganis_NPP,Procès reprend témoignage policier Panagiotis Sarganis,procedure,
"Oui, il y a des gens qui sont venus librement dans la salle de débordement pour regarder cette vidéo... #Magnotta",10/23/2014,Oui_ADV il_CL y_CL a_V des_DET gens_NC qui_PROREL sont_V venus_VPP librement_ADV dans_P la_DET salle_NC de_P débordement_NC pour_P regarder_VINF cette_DET vidéo_NC #Magnotta_NPP,gens sont venus salle débordement regarder vidéo,preuve,
"Fin de la présentation. Sans surprise, juge Cournoyer décrète pause sur-le-champ... De retour à 11h15. #Magnotta",10/23/2014,Fin_NC de_P la_DET présentation_NC Sans_P surprise_NC juge_V Cournoyer_VINF décrète_DET pause_NC sur-le-champ_ADJ De_P retour_NC à_P 11h15_DET #Magnotta_NC,Fin présentation surprise juge Cournoyer pause sur-le-champ retour,procedure,
#Magnotta toujours plié en deux dans sa cage de verre pendant que la Couronne fait défiler les 12 vidéos.,10/23/2014,#Magnotta_NPP toujours_ADV plié_VPP en_P deux_DET dans_P sa_DET cage_NC de_P verre_NC pendant_P que_C la_DET Couronne_NC fait_V défiler_VINF les_DET 12_ADJ vidéos_NC,plié cage verre Couronne fait défiler 12 vidéos,-,Comportement Magnotta / jurés procès
